Account,Behavior,Video_Time,CreateDate
S10527132,buffering,0,"2017-04-22 21:42:08"
S10527132,playing,0,"2017-04-22 21:42:09"
S10527132,paused,38,"2017-04-22 21:42:20"
S10527132,buffering,38,"2017-04-22 21:42:20"
S10527132,playing,38,"2017-04-22 21:42:21"
S10527132,paused,50,"2017-04-22 21:42:21"
S10527132,buffering,50,"2017-04-22 21:42:21"
S10527132,playing,50,"2017-04-22 21:42:21"
S10527132,buffering,50,"2017-04-22 21:42:22"
S10527132,playing,60,"2017-04-22 21:42:22"
S10527132,paused,60,"2017-04-22 21:42:22"
S10527132,buffering,60,"2017-04-22 21:42:22"
S10527132,playing,60,"2017-04-22 21:42:53"
S10527132,buffering,80,"2017-04-22 21:43:13"
S10527132,playing,80,"2017-04-22 21:43:28"
S10527132,buffering,0,"2017-04-25 21:00:17"
S10527132,playing,0,"2017-04-25 21:00:29"
S10527132,paused,69,"2017-04-25 21:01:29"
S10527132,buffering,69,"2017-04-25 21:01:29"
S10527132,playing,69,"2017-04-25 21:01:29"
S10527132,paused,86,"2017-04-25 21:01:30"
S10527132,buffering,86,"2017-04-25 21:01:30"
S10527132,playing,86,"2017-04-25 21:01:30"
S10527132,paused,97,"2017-04-25 21:01:31"
S10527132,buffering,97,"2017-04-25 21:01:31"
S10527132,playing,97,"2017-04-25 21:01:31"
S10527132,paused,90,"2017-04-25 21:01:32"
S10527132,buffering,90,"2017-04-25 21:01:32"
S10527132,playing,90,"2017-04-25 21:01:32"
S10527132,paused,91,"2017-04-25 21:01:34"
S10527132,buffering,0,"2017-04-25 22:20:00"
S10527132,playing,0,"2017-04-25 22:20:01"
S10527132,paused,267,"2017-04-25 22:20:01"
S10527132,buffering,267,"2017-04-25 22:20:01"
S10527132,playing,267,"2017-04-25 22:20:02"
S10527132,paused,254,"2017-04-25 22:20:03"
S10527132,buffering,254,"2017-04-25 22:20:04"
S10527132,playing,254,"2017-04-25 22:20:04"
S10527132,paused,229,"2017-04-25 22:20:04"
S10527132,buffering,229,"2017-04-25 22:20:05"
S10527132,playing,229,"2017-04-25 22:20:05"
S10527132,paused,202,"2017-04-25 22:20:07"
S10527132,buffering,202,"2017-04-25 22:20:07"
S10527132,playing,202,"2017-04-25 22:20:08"
S10527132,paused,327,"2017-04-25 22:22:13"
S10527132,playing,327,"2017-04-25 22:22:14"
S10527132,paused,341,"2017-04-25 22:22:28"
S10424105,buffering,0,"2017-04-25 22:30:52"
S10424105,buffering,0,"2017-04-25 22:52:52"
S10424105,playing,0,"2017-04-25 22:52:53"
S10424105,paused,2,"2017-04-25 22:52:55"
S10424105,buffering,0,"2017-04-25 22:53:07"
S10527110,buffering,0,"2017-04-26 08:14:26"
S10527110,playing,0,"2017-04-26 08:14:26"
S10527110,paused,43,"2017-04-26 08:14:50"
S10527110,buffering,43,"2017-04-26 08:14:50"
S10527110,playing,43,"2017-04-26 08:14:50"
S10527110,paused,68,"2017-04-26 08:14:52"
S10527110,buffering,68,"2017-04-26 08:14:52"
S10527110,paused,68,"2017-04-26 08:14:52"
S10527110,playing,68,"2017-04-26 08:14:52"
S10527110,buffering,68,"2017-04-26 08:14:53"
S10527110,paused,90,"2017-04-26 08:14:55"
S10527110,buffering,90,"2017-04-26 08:14:55"
S10527110,paused,90,"2017-04-26 08:14:55"
S10527110,buffering,90,"2017-04-26 08:14:55"
S10527110,playing,90,"2017-04-26 08:14:55"
S10527110,paused,119,"2017-04-26 08:15:08"
S10527110,buffering,119,"2017-04-26 08:15:08"
S10527110,paused,119,"2017-04-26 08:15:08"
S10527110,buffering,119,"2017-04-26 08:15:08"
S10527110,playing,119,"2017-04-26 08:15:09"
S10527110,paused,128,"2017-04-26 08:15:09"
S10527110,buffering,128,"2017-04-26 08:15:09"
S10527110,paused,128,"2017-04-26 08:15:09"
S10527110,buffering,128,"2017-04-26 08:15:09"
S10527110,playing,128,"2017-04-26 08:15:09"
S10527110,paused,128,"2017-04-26 08:15:09"
S10527110,buffering,128,"2017-04-26 08:15:09"
S10527110,playing,128,"2017-04-26 08:15:09"
S10527110,paused,129,"2017-04-26 08:15:15"
S10527110,buffering,129,"2017-04-26 08:15:15"
S10527110,paused,129,"2017-04-26 08:15:15"
S10527110,buffering,129,"2017-04-26 08:15:15"
S10527110,playing,129,"2017-04-26 08:15:15"
S10527110,paused,182,"2017-04-26 08:16:08"
S10412108,buffering,0,"2017-04-26 08:16:14"
S10412108,playing,0,"2017-04-26 08:16:15"
S10412108,paused,46,"2017-04-26 08:16:46"
S10412108,playing,46,"2017-04-26 08:16:47"
S10412108,paused,53,"2017-04-26 08:16:53"
S10527122,buffering,0,"2017-04-26 08:17:02"
S10527122,playing,0,"2017-04-26 08:17:05"
S10527122,buffering,6,"2017-04-26 08:17:10"
S10527126,buffering,0,"2017-04-26 08:17:11"
S10527126,playing,0,"2017-04-26 08:17:12"
S10527122,playing,6,"2017-04-26 08:17:12"
S10527122,buffering,15,"2017-04-26 08:17:17"
S10527122,playing,15,"2017-04-26 08:17:17"
S10527122,buffering,21,"2017-04-26 08:17:18"
S10527122,playing,21,"2017-04-26 08:17:18"
S10527122,buffering,26,"2017-04-26 08:17:18"
S10527122,playing,26,"2017-04-26 08:17:18"
S10527122,buffering,31,"2017-04-26 08:17:18"
S10527122,playing,31,"2017-04-26 08:17:19"
S10527122,buffering,36,"2017-04-26 08:17:19"
S10527122,playing,36,"2017-04-26 08:17:19"
S10527122,buffering,42,"2017-04-26 08:17:19"
S10527122,playing,42,"2017-04-26 08:17:20"
S10527122,buffering,47,"2017-04-26 08:17:20"
S10527122,playing,47,"2017-04-26 08:17:21"
S10527122,buffering,53,"2017-04-26 08:17:21"
S10527122,playing,53,"2017-04-26 08:17:21"
S10527122,paused,56,"2017-04-26 08:17:24"
S10527122,playing,56,"2017-04-26 08:17:26"
S10527122,paused,60,"2017-04-26 08:17:30"
S10527138,buffering,0,"2017-04-26 08:17:34"
S10527138,playing,0,"2017-04-26 08:17:35"
S10527138,paused,5,"2017-04-26 08:17:42"
S10527138,paused,6,"2017-04-26 08:17:42"
S10527138,playing,5,"2017-04-26 08:17:43"
S10527126,paused,40,"2017-04-26 08:17:52"
S10527173,buffering,0,"2017-04-26 08:17:56"
S10527173,playing,0,"2017-04-26 08:17:58"
S10527133,buffering,0,"2017-04-26 08:18:32"
S10527133,playing,0,"2017-04-26 08:18:35"
S10527133,paused,6,"2017-04-26 08:18:42"
S10527126,playing,40,"2017-04-26 08:18:52"
S10527126,paused,58,"2017-04-26 08:18:53"
S10527126,playing,58,"2017-04-26 08:18:54"
S10527120,buffering,0,"2017-04-26 08:19:02"
S10527120,playing,0,"2017-04-26 08:19:03"
S10527126,paused,72,"2017-04-26 08:19:08"
S10527120,paused,37,"2017-04-26 08:19:17"
S10527120,playing,37,"2017-04-26 08:19:17"
S10527120,paused,64,"2017-04-26 08:19:20"
S10527120,playing,64,"2017-04-26 08:19:20"
S10527120,buffering,64,"2017-04-26 08:19:20"
S10527120,playing,64,"2017-04-26 08:19:20"
S10412108,playing,53,"2017-04-26 08:19:21"
S10527120,paused,83,"2017-04-26 08:19:22"
S10527120,playing,83,"2017-04-26 08:19:22"
S10527120,buffering,83,"2017-04-26 08:19:22"
S10527120,playing,83,"2017-04-26 08:19:22"
S10527120,paused,101,"2017-04-26 08:19:24"
S10527120,playing,101,"2017-04-26 08:19:25"
S10527120,buffering,101,"2017-04-26 08:19:25"
S10527120,playing,101,"2017-04-26 08:19:25"
S10527120,playing,101,"2017-04-26 08:19:25"
S10527120,buffering,101,"2017-04-26 08:19:25"
S10527120,paused,117,"2017-04-26 08:19:26"
S10527120,playing,117,"2017-04-26 08:19:27"
S10527120,buffering,117,"2017-04-26 08:19:27"
S10527120,playing,117,"2017-04-26 08:19:27"
S10527120,paused,126,"2017-04-26 08:19:27"
S10527120,playing,127,"2017-04-26 08:19:27"
S10527120,paused,134,"2017-04-26 08:19:28"
S10527120,playing,134,"2017-04-26 08:19:28"
S10527120,paused,142,"2017-04-26 08:19:28"
S10527120,playing,142,"2017-04-26 08:19:28"
S10527120,paused,149,"2017-04-26 08:19:29"
S10527120,playing,149,"2017-04-26 08:19:29"
S10527120,paused,155,"2017-04-26 08:19:30"
S10527120,playing,155,"2017-04-26 08:19:30"
S10527120,paused,160,"2017-04-26 08:19:30"
S10527120,playing,160,"2017-04-26 08:19:31"
S10527120,paused,163,"2017-04-26 08:19:31"
S10527120,playing,163,"2017-04-26 08:19:31"
S10527120,paused,169,"2017-04-26 08:19:31"
S10527120,playing,169,"2017-04-26 08:19:32"
S10527120,paused,170,"2017-04-26 08:19:32"
S10527120,playing,170,"2017-04-26 08:19:32"
S10527120,paused,175,"2017-04-26 08:19:32"
S10527120,playing,175,"2017-04-26 08:19:33"
S10527120,paused,181,"2017-04-26 08:19:33"
S10527120,playing,181,"2017-04-26 08:19:33"
S10527120,paused,188,"2017-04-26 08:19:33"
S10527120,playing,188,"2017-04-26 08:19:33"
S10527120,paused,192,"2017-04-26 08:19:34"
S10527120,playing,192,"2017-04-26 08:19:34"
S10527120,paused,196,"2017-04-26 08:19:34"
S10527120,playing,196,"2017-04-26 08:19:34"
S10527120,paused,202,"2017-04-26 08:19:34"
S10527120,playing,202,"2017-04-26 08:19:35"
S10527120,paused,206,"2017-04-26 08:19:35"
S10527120,playing,206,"2017-04-26 08:19:35"
S10527120,paused,211,"2017-04-26 08:19:35"
S10527120,playing,211,"2017-04-26 08:19:35"
S10527120,paused,218,"2017-04-26 08:19:36"
S10527120,playing,218,"2017-04-26 08:19:36"
S10527120,paused,224,"2017-04-26 08:19:36"
S10527120,playing,224,"2017-04-26 08:19:36"
