Account,HomeworkFile_Name,CreateDate
S10527235,2017-04-26-020306_1824x984_scrot.png,"2017-04-26 10:06:01"
S10527235,2017-04-26-020316_1824x984_scrot.png,"2017-04-26 10:06:07"
S10527249,P_20170426_100140.jpg,"2017-04-26 10:11:14"
S10127102,2017-04-26-021327_1824x984_scrot.png,"2017-04-26 10:14:39"
S10527277,2017-04-26-021327_1824x984_scrot.png,"2017-04-26 10:15:39"
S10527224,2017-04-26-021429_1824x984_scrot.png,"2017-04-26 10:18:50"
S10527243,2017-04-26-021928_1824x984_scrot.png,"2017-04-26 10:20:32"
S10527243,2017-04-26-022003_1824x984_scrot.png,"2017-04-26 10:20:40"
S10527239,IMAG0271.jpg,"2017-04-26 10:22:24"
S10527239,IMAG0271.jpg,"2017-04-26 10:23:30"
S10527207,åµŒå…¥å¼.jpg,"2017-04-26 18:08:02"
S10527233,"åµŒå…¥å¼ç³»çµ± ç¶²é ç…§ç‰‡.jpg","2017-05-01 21:57:38"
S10527242,DSC_0013.JPG,"2017-05-03 09:27:03"
S10527242,14937748422021374361999.jpg,"2017-05-03 09:28:24"
S10527242,lab06.rar,"2017-05-03 09:43:12"
S10527211,lab06.tar.gz,"2017-05-03 10:01:40"
S10527277,lab6.tar.gz,"2017-05-03 10:07:09"
S10127102,1493777856583-1892777908.jpg,"2017-05-03 10:18:10"
S10527277,1493777868648-1914044005.jpg,"2017-05-03 10:18:15"
S10527209,"05 Web.png","2017-05-03 10:18:35"
S10127102,lab6.tar.gz,"2017-05-03 10:18:52"
S10527209,lab06.tar.gz,"2017-05-03 10:19:08"
S10527214,2017-05-03-021724_1824x984_scrot.png,"2017-05-03 10:21:04"
S10527202,"t201 lab06.bz2","2017-05-03 10:21:08"
S10527226,2017-05-03-022004_1824x984_scrot.png,"2017-05-03 10:25:09"
S10527206,03.png,"2017-05-03 10:26:23"
S10527226,lab06.tar.gz,"2017-05-03 10:26:42"
S10527224,2017-05-03-021612_1824x984_scrot.png,"2017-05-03 10:30:15"
S10527224,IMG_20170503_101656.jpg,"2017-05-03 10:30:38"
S10527224,lab06.tar.gz,"2017-05-03 10:31:07"
S10527226,image.jpeg,"2017-05-03 10:31:21"
